title,year,duration,genres
Chinatown,1974,2h 10m,"Drama,Mystery,Thriller"
Raging Bull,1980,2h 9m,"Biography,Drama,Sport"
V for Vendetta,2005,2h 12m,"Action,Drama,Sci-Fi"
The Thing,1982,1h 49m,"Horror,Mystery,Sci-Fi"
Finding Nemo,2003,1h 40m,"Animation,Adventure,Comedy"
Gone with the Wind,1939,3h 58m,"Drama,Romance,War"
Spider-Man: No Way Home,2021,2h 28m,"Action,Adventure,Fantasy"
The Elephant Man,1980,2h 4m,"Biography,Drama"
Rashomon,1950,1h 28m,"Crime,Drama,Mystery"
Kill Bill: Vol. 1,2003,1h 51m,"Action,Crime,Drama"
The Great Escape,1963,2h 52m,"Adventure,Drama,History"
No Country for Old Men,2007,2h 2m,"Crime,Drama,Thriller"
Monty Python and the Holy Grail,1975,1h 31m,"Adventure,Comedy,Fantasy"
The Treasure of the Sierra Madre,1948,2h 6m,"Adventure,Drama,Western"
A Beautiful Mind,2001,2h 15m,"Biography,Drama"
Yojimbo,1961,1h 50m,"Action,Drama,Thriller"
The Sixth Sense,1999,1h 47m,"Drama,Mystery,Thriller"
Jurassic Park,1993,2h 7m,"Action,Adventure,Sci-Fi"
Shutter Island,2010,2h 18m,"Mystery,Thriller"
Unforgiven,1992,2h 10m,"Drama,Western"
Guardians of the Galaxy Vol. 3,2023,2h 30m,"Action,Adventure,Comedy"
There Will Be Blood,2007,2h 38m,Drama
The Truman Show,1998,1h 43m,"Comedy,Drama"
Pan's Labyrinth,2006,1h 58m,"Drama,Fantasy,War"
Casino,1995,2h 58m,"Crime,Drama"
Judgment at Nuremberg,1961,2h 59m,"Drama,War"
Green Book,2018,2h 10m,"Biography,Comedy,Drama"
All About Eve,1950,2h 18m,Drama
Batman Begins,2005,2h 20m,"Action,Crime,Drama"
The Kid,1921,1h 8m,
For a Few Dollars More,1965,2h 12m,"Drama,Western"
The Father,2020,1h 37m,"Drama,Mystery"
Ran,1985,2h 42m,"Action,Drama,War"
The Wolf of Wall Street,2013,3h,"Biography,Comedy,Crime"
Some Like It Hot,1959,2h 1m,"Comedy,Music,Romance"
Dangal,2016,2h 41m,"Action,Biography,Drama"
Downfall,2004,2h 36m,
1917,2019,1h 59m,"Action,Drama,War"
Bicycle Thieves,1948,1h 29m,Drama
Like Stars on Earth,2007,2h 45m,"Drama,Family"
Snatch,2000,1h 42m,"Comedy,Crime"
Top Gun: Maverick,2022,2h 10m,"Action,Drama"
L.A. Confidential,1997,2h 18m,"Crime,Drama,Mystery"
Indiana Jones and the Last Crusade,1989,2h 7m,"Action,Adventure"
Die Hard,1988,2h 12m,"Action,Thriller"
Taxi Driver,1976,1h 54m,"Crime,Drama"
The Sting,1973,2h 9m,"Comedy,Crime,Drama"
A Separation,2011,2h 3m,Drama
To Kill a Mockingbird,1962,2h 9m,"Crime,Drama"
Metropolis,1927,2h 33m,"Drama,Sci-Fi"
Incendies,2010,2h 11m,"Drama,Mystery"
Up,2009,1h 36m,"Animation,Adventure,Comedy"
Hamilton,2020,2h 40m,"Biography,Drama,History"
Scarface,1983,2h 50m,"Crime,Drama"
A Clockwork Orange,1971,2h 16m,"Crime,Sci-Fi"
Heat,1995,2h 50m,"Action,Crime,Drama"
Amélie,2001,2h 2m,"Comedy,Romance"
Full Metal Jacket,1987,1h 56m,"Drama,War"
Double Indemnity,1944,1h 47m,"Crime,Drama,Film-Noir"
The Apartment,1960,2h 5m,"Comedy,Drama,Romance"
North by Northwest,1959,2h 16m,"Action,Adventure,Mystery"
Citizen Kane,1941,1h 59m,"Drama,Mystery"
Ikiru,1952,2h 23m,Drama
Lawrence of Arabia,1962,3h 38m,"Adventure,Biography,Drama"
M,1931,1h 39m,"Crime,Mystery,Thriller"
The Hunt,2012,1h 55m,Drama
Vertigo,1958,2h 8m,"Mystery,Romance,Thriller"
Reservoir Dogs,1992,1h 39m,"Crime,Thriller"
Eternal Sunshine of the Spotless Mind,2004,1h 48m,"Drama,Romance,Sci-Fi"
Come and See,1985,2h 22m,"Drama,Thriller,War"
2001: A Space Odyssey,1968,2h 29m,"Adventure,Sci-Fi"
Capernaum,2018,2h 6m,Drama
High and Low,1963,2h 23m,"Crime,Drama,Mystery"
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,"Action,Adventure,Fantasy"
Requiem for a Dream,2000,1h 42m,Drama
Toy Story 3,2010,1h 43m,"Animation,Adventure,Comedy"
3 Idiots,2009,2h 50m,"Comedy,Drama"
Your Name.,2016,1h 46m,"Animation,Drama,Fantasy"
Avengers: Endgame,2019,3h 1m,"Action,Adventure,Drama"
Princess Mononoke,1997,2h 14m,"Animation,Action,Adventure"
Good Will Hunting,1997,2h 6m,"Drama,Romance"
Das Boot,1981,2h 29m,"Drama,War"
Once Upon a Time in America,1984,3h 49m,"Crime,Drama"
Joker,2019,2h 2m,"Crime,Drama,Thriller"
Singin' in the Rain,1952,1h 43m,"Comedy,Musical,Romance"
Braveheart,1995,2h 58m,"Biography,Drama,History"
Coco,2017,1h 45m,"Animation,Adventure,Comedy"
Toy Story,1995,1h 21m,"Animation,Adventure,Comedy"
Oldboy,2003,2h,"Action,Drama,Mystery"
The Dark Knight Rises,2012,2h 44m,"Action,Drama,Thriller"
American Beauty,1999,2h 2m,Drama
Amadeus,1984,2h 40m,"Biography,Drama,Music"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,"Comedy,War"
Inglourious Basterds,2009,2h 33m,"Adventure,Drama,War"
Spider-Man: Into the Spider-Verse,2018,1h 57m,"Animation,Action,Adventure"
Aliens,1986,2h 17m,"Action,Adventure,Sci-Fi"
Avengers: Infinity War,2018,2h 29m,"Action,Adventure,Sci-Fi"
Witness for the Prosecution,1957,1h 56m,"Crime,Drama,Mystery"
Paths of Glory,1957,1h 28m,"Drama,War"
